,nops_mean_on_50,nops_err_on_50,nops_mean_off_50,nops_err_off_50,turn_mean_on_50,turn_err_on_50,turn_mean_off_50,turn_err_off_50,go_mean_on_50,go_err_on_50,go_mean_off_50,go_err_off_50,nops_mean_on_300,nops_err_on_300,nops_mean_off_300,nops_err_off_300,turn_mean_on_300,turn_err_on_300,turn_mean_off_300,turn_err_off_300,go_mean_on_300,go_err_on_300,go_mean_off_300,go_err_off_300
91,117.206666667,0.0597037039978,139.404166667,0.0196711578191,125.705833333,0.0373569703513,235.14,0.032518416216,269.0875,0.0781584962771,137.455833333,0.0167751274367,159.405277778,0.00616211928569,143.689583333,0.00374122148123,170.886388889,0.00707863534587,225.83375,0.00643935887708,181.708333333,0.00889863735415,142.476666667,0.00323610758568
92,116.703333333,0.060006879572,139.104166667,0.02000315847,124.830833333,0.0355744302581,236.148333333,0.0315258084476,270.465833333,0.0782593406758,136.7475,0.0161560062799,159.188194444,0.00616091654739,143.8475,0.00388529702441,170.554027778,0.00702127466809,226.416111111,0.00646818925089,182.257777778,0.00892903624036,141.736388889,0.0032173384231
93,119.0575,0.05972115366,140.08,0.0207573959779,125.420833333,0.0354258369125,234.891666667,0.0332933586529,267.521666667,0.0773339343896,137.028333333,0.0177687025783,159.682361111,0.00611904932709,143.355277778,0.00376801333556,170.701388889,0.00703638046448,226.584444444,0.00648416101151,181.61625,0.00878474278725,142.060277778,0.00332612859892
94,119.026666667,0.058463716534,139.269166667,0.0206544723556,124.925833333,0.0344656495727,235.398333333,0.0324056887492,268.0475,0.0765585002022,137.3325,0.016642789953,159.795416667,0.00608099854861,143.1075,0.00389411422827,170.323333333,0.0070648120536,226.884722222,0.00644829093146,181.88125,0.00879359645272,142.007777778,0.00324840712091
95,116.323333333,0.0600017498572,140.0125,0.020290212628,124.910833333,0.0364995018394,233.959166667,0.0327577072621,270.765833333,0.0786049412858,138.028333333,0.0165795113475,158.885138889,0.00621714719942,143.447916667,0.00382762148354,170.984444444,0.00705264582646,226.559444444,0.00647984453842,182.130416667,0.00898768501005,141.992638889,0.00321451354524
96,119.576666667,0.0574159765225,140.458333333,0.0217971605374,126.71,0.0368895088837,234.2575,0.0336952997746,265.713333333,0.0759215945953,137.284166667,0.0166579194292,159.138472222,0.00600956782978,143.758611111,0.0038443461635,171.534305556,0.00702236702357,226.443194444,0.00645513787612,181.327222222,0.00871670548979,141.798194444,0.003252351803
97,117.473333333,0.0602186959171,140.704166667,0.0218535274857,123.830833333,0.0366759268216,234.155833333,0.0321295034782,270.695833333,0.0772237328833,137.14,0.0176165488355,158.389027778,0.00611564392584,142.991388889,0.00363742946731,170.540833333,0.00710510901415,226.46125,0.00634593105485,183.070138889,0.00892588932009,142.547361111,0.00339404990893
98,119.1,0.0586856553912,140.286666667,0.0216468968548,124.653333333,0.035705561175,234.340833333,0.0332680977073,268.246666667,0.0771619002699,137.3725,0.0172379309546,159.197222222,0.00608719578595,143.297916667,0.00378292479539,170.512916667,0.0070583523193,226.258611111,0.00644610678021,182.289861111,0.00885887441217,142.443472222,0.00332378021839
99,120.234166667,0.0587045019942,141.233333333,0.0206768759465,125.195,0.0363974434523,233.266666667,0.0330596203762,266.570833333,0.0755326027385,137.5,0.017348022209,159.605416667,0.00607832205363,143.299583333,0.00374190451966,170.366388889,0.0070649259237,226.940277778,0.0063850331003,182.028194444,0.00868504011087,141.760138889,0.00323074193621
100,116.338333333,0.0595290206064,140.19,0.0234947363563,124.023333333,0.0343547477847,233.4925,0.0344951748369,271.638333333,0.0768704190444,138.3175,0.0185654016265,158.463194444,0.00619506555452,143.075138889,0.00377484203404,170.677638889,0.0071271515541,226.745,0.00636533133653,182.859166667,0.00895903653725,142.179861111,0.00328443131251
